method,seed,trial,best_loss_so_far,current_loss
HMM_MCMC,42,1,4.629309177398682,4.629309177398682
HMM_MCMC,42,2,4.629309177398682,773.547119140625
HMM_MCMC,42,3,4.59846305847168,4.59846305847168
TPE,42,1,4.598368167877197,4.598368167877197
TPE,42,2,4.598368167877197,4.609019756317139
TPE,42,3,4.598368167877197,4.609394550323486
Hyperband,42,1,4.598368167877197,4.598368167877197
Hyperband,42,2,4.598368167877197,4.609019756317139
Hyperband,42,3,4.598368167877197,4.609394550323486
BOHB,42,1,4.598368167877197,4.598368167877197
BOHB,42,2,4.598368167877197,4.609019756317139
BOHB,42,3,4.598368167877197,4.609394550323486
