scenario,algorithm,mean,std,best,worst,n_seeds,rank
lcbench_7593,HMM_MCMC_DREAM,88.401591,1.170092,90.222191,87.151962,5,1.000000
lcbench_7593,HMM_MCMC_BW,84.622713,1.851552,87.811378,82.144485,5,3.000000
lcbench_7593,TPE,86.548181,1.227959,87.609291,84.459297,5,2.000000
lcbench_189873,HMM_MCMC_DREAM,94.375639,1.941405,96.762169,92.041336,5,1.000000
lcbench_189873,HMM_MCMC_BW,93.957271,1.323894,95.496689,91.666412,5,2.000000
lcbench_189873,TPE,93.465556,2.487014,97.393936,89.738213,5,3.000000
lcbench_168329,HMM_MCMC_DREAM,46.212124,4.818828,50.373539,37.232704,5,1.000000
lcbench_168329,HMM_MCMC_BW,43.937823,2.506657,46.158222,39.098286,5,2.000000
lcbench_168329,TPE,40.039388,4.532255,47.787315,33.741554,5,3.000000
lcbench_167185,HMM_MCMC_DREAM,97.018831,0.126933,97.190552,96.823090,5,3.000000
lcbench_167185,HMM_MCMC_BW,97.189479,0.147418,97.296646,96.899208,5,2.000000
lcbench_167185,TPE,97.544066,0.165382,97.784821,97.273262,5,1.000000
lcbench_167152,HMM_MCMC_DREAM,97.482152,0.196759,97.845268,97.291077,5,3.000000
lcbench_167152,HMM_MCMC_BW,97.504211,0.134321,97.761322,97.393562,5,2.000000
lcbench_167152,TPE,97.905737,0.234356,98.135719,97.621201,5,1.000000
