task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,regret,best_metric,truncated,nregret,log_regret
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,0,500,500,6.965215129011085,6.965215129011085,6.965215129011085,0.0,False,3.629956500022672,0.01256940042367205,3.635695200006012,500.0,3.617387099599,500,6.965215129011085,0.3060796645702306,0.0,0,0,93,3.629809199948795,0.02282960043521598,3.606979599513579,0.1488469601677149,0.2676056338028169,0.07127882599580712,0.38235294117647056,0.779874213836478,0.3064516129032258,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 0, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",6.965215129011085,6.965215129011085,,,0.8429345346724004
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,1,500,500,5.9337863260390264,5.9337863260390264,5.9337863260390264,0.0,False,3.732256499992218,0.013882399420253932,3.738478099985514,500.0,3.718374100571964,500,5.9337863260390264,0.38155136268343814,0.0,0,0,93,3.732080699992366,0.02429679996566847,3.7077839000266977,0.16142557651991615,0.3246753246753247,0.37735849056603776,0.5055555555555555,0.4612159329140461,0.3,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 1, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",5.9337863260390264,5.9337863260390264,,,0.773331903441469
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,2,500,500,4.322371370064104,4.322371370064104,4.322371370064104,0.0,False,3.824961300007999,0.013445000688079745,3.832016600004863,500.0,3.811516299319919,500,4.322371370064104,0.36268343815513626,0.0,0,0,93,3.82477549999021,0.024011199770029634,3.8007643002201803,0.14675052410901468,0.2,0.46750524109014674,0.48878923766816146,0.3857442348008386,0.2717391304347826,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 2, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",4.322371370064104,4.322371370064104,,,0.6357220779200157
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,3,500,500,7.710540004064038,7.710540004064038,7.710540004064038,0.0,False,3.8017739999922924,0.013425299781374633,3.812920900003519,500.0,3.7883487002109177,500,7.710540004064038,0.33962264150943394,0.0,0,0,93,3.801522900001146,0.023918399354442954,3.777604500646703,0.06289308176100629,0.3,0.1740041928721174,0.5180722891566265,0.7631027253668763,0.3021978021978022,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 3, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",7.710540004064038,7.710540004064038,,,0.8870847947271155
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,4,500,500,6.310020411856808,6.310020411856808,6.310020411856808,0.0,False,3.9916931999614462,0.01480070035904646,3.9979877999867313,500.0,3.9768924996023998,500,6.310020411856808,0.31446540880503143,0.0,0,0,93,3.991510800027754,0.026197699597105384,3.9653131004306488,0.24737945492662475,0.2033898305084746,0.16981132075471697,0.49382716049382713,0.5828092243186582,0.30935251798561153,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 4, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",6.310020411856808,6.310020411856808,,,0.800030764116222
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,5,500,500,9.450596539653976,9.450596539653976,9.450596539653976,0.0,False,3.70051399996737,0.013181600777897984,3.711651899968274,500.0,3.687332399189472,500,9.450596539653976,0.37735849056603776,0.0,0,0,93,3.7003625000361353,0.02335050026886165,3.6770119997672737,0.08176100628930817,0.28205128205128205,0.3312368972746331,0.5253164556962026,0.5870020964360587,0.30714285714285716,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 5, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",9.450596539653976,9.450596539653976,,,0.9754592228694324
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,6,500,500,8.24326664935031,8.24326664935031,8.24326664935031,0.0,False,3.583673099987209,0.013235400430858135,3.5943769000004977,500.0,3.5704376995563507,500,8.24326664935031,0.4129979035639413,0.0,0,0,93,3.5834578000358306,0.023638200422283262,3.5598195996135473,0.20545073375262055,0.12244897959183673,0.4612159329140461,0.5636363636363636,0.3333333333333333,0.3836477987421384,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 6, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",8.24326664935031,8.24326664935031,,,0.9160993484266051
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,7,500,500,8.36663417367211,8.36663417367211,8.36663417367211,0.0,False,3.8908871000166982,0.013298800098709762,3.9016176000004634,500.0,3.8775882999179885,500,8.36663417367211,0.4025157232704403,0.0,0,0,93,3.8907281999709085,0.02395669970428571,3.8667715002666228,0.14255765199161424,0.3088235294117647,0.389937106918239,0.553763440860215,0.46750524109014674,0.30493273542600896,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 7, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",8.36663417367211,8.36663417367211,,,0.9225507801213115
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,8,500,500,8.365456288180434,8.365456288180434,8.365456288180434,0.0,False,3.828717600030359,0.01330399903235957,3.838462100015022,500.0,3.8154136009979993,500,8.365456288180434,0.31865828092243187,0.0,0,0,93,3.8285058999899775,0.024043900368269533,3.804461999621708,0.1928721174004193,0.18478260869565216,0.29979035639413,0.4755244755244755,0.5073375262054507,0.2768595041322314,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 8, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",8.365456288180434,8.365456288180434,,,0.9224896342446071
cat__ackley_10d,cat,L1_K1_VITERBI_SUB,9,500,500,8.32270892615819,8.32270892615819,8.32270892615819,0.0,False,3.816295499971602,0.013752700528129935,3.8231277000159025,500.0,3.802542799443472,500,8.32270892615819,0.3438155136268344,0.0,0,0,93,3.8161024000146426,0.024571000481955707,3.791531399532687,0.27672955974842767,0.20454545454545456,0.14046121593291405,0.6567164179104478,0.5828092243186582,0.3345323741007194,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 1, ""n_init"": 23, ""orchestrate_every"": 0, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 9, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",8.32270892615819,8.32270892615819,,,0.9202647061223883
