task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
cat__ackley_10d,cat,CTRL_HMM,0,500,6.883986701840417,0.3860369609856263,0.0,3,2,76,5.517350100009935,0.04334800032665953,5.4740020996832754,0.5195071868583162,0.42292490118577075,0.4804928131416838,0.34615384615384615,0.0,
cat__ackley_10d,cat,CTRL_HMM,1,500,8.676260975111239,0.35477178423236516,0.0,8,2,61,5.043951200001175,0.03903519986488391,5.004916000136291,0.508298755186722,0.31020408163265306,0.491701244813278,0.4008438818565401,0.0,
cat__ackley_10d,cat,CTRL_HMM,2,500,6.906895188147704,0.36645962732919257,0.0,9,0,61,5.062738399996306,0.038203099713427946,5.024535300282878,0.505175983436853,0.36475409836065575,0.494824016563147,0.3682008368200837,0.0,
cat__ackley_10d,cat,CTRL_HMM,3,500,5.631212649194399,0.3979381443298969,0.0,5,2,71,5.773878299994976,0.04923750001762528,5.724640799977351,0.554639175257732,0.4052044609665427,0.44536082474226807,0.3888888888888889,0.0,
cat__ackley_10d,cat,CTRL_HMM,4,500,4.72497613235749,0.3559670781893004,0.0,6,0,70,5.660054599997238,0.04155580003862269,5.618498799958616,0.5452674897119342,0.3886792452830189,0.4547325102880658,0.3167420814479638,0.0,
cat__ackley_10d,cat,CTRL_HMM,5,500,5.710767006590597,0.34439834024896265,0.0,8,2,62,4.79500180001196,0.037056900284369476,4.75794489972759,0.45020746887966806,0.37327188940092165,0.549792531120332,0.32075471698113206,0.0,
cat__ackley_10d,cat,CTRL_HMM,6,500,4.65012309791307,0.34285714285714286,0.0,2,0,82,4.8137158999888925,0.03539730003103614,4.778318599957856,0.46938775510204084,0.3217391304347826,0.5306122448979592,0.36153846153846153,0.0,
cat__ackley_10d,cat,CTRL_HMM,7,500,6.595787204836071,0.3786008230452675,0.0,6,0,70,4.479620099999011,0.03308490007475484,4.446535199924256,0.49382716049382713,0.4125,0.5061728395061729,0.34552845528455284,0.0,
cat__ackley_10d,cat,CTRL_HMM,8,500,6.0120575330500685,0.3659043659043659,0.0,10,1,58,4.011412899999414,0.03217919997405261,3.979233700025361,0.5343035343035343,0.36964980544747084,0.4656964656964657,0.36160714285714285,0.0,
cat__ackley_10d,cat,CTRL_HMM,9,500,6.439028246941636,0.4077868852459016,0.0,4,0,77,4.166264100000262,0.03129650006303564,4.134967599937227,0.5245901639344263,0.4375,0.47540983606557374,0.375,0.0,
cat__levy_10d,cat,CTRL_HMM,0,500,2.27266604306997,0.4078674948240166,0.0,9,0,60,5.4465952000027755,0.05683440010761842,5.389760799895157,0.7060041407867494,0.4340175953079179,0.2939958592132505,0.34507042253521125,0.0,
cat__levy_10d,cat,CTRL_HMM,1,500,2.3049937914947125,0.39337474120082816,0.0,9,0,62,4.9849806999991415,0.05181490007089451,4.933165799928247,0.7039337474120083,0.4088235294117647,0.29606625258799174,0.35664335664335667,0.0,
cat__levy_10d,cat,CTRL_HMM,2,500,8.13688115461324,0.38065843621399176,0.0,6,0,68,6.248709399995278,0.06469389994163066,6.184015500053647,0.6646090534979424,0.39009287925696595,0.33539094650205764,0.3619631901840491,0.0,
cat__levy_10d,cat,CTRL_HMM,3,500,2.9888051247316585,0.4004149377593361,0.0,10,0,57,4.915545600000769,0.05064680009672884,4.86489879990404,0.6556016597510373,0.3829113924050633,0.34439834024896265,0.43373493975903615,0.0,
cat__levy_10d,cat,CTRL_HMM,4,500,1.6160021613454607,0.42411642411642414,0.0,11,0,54,4.96164160000626,0.05252869997639209,4.909112900029868,0.7900207900207901,0.44473684210526315,0.20997920997921,0.3465346534653465,0.0,
cat__levy_10d,cat,CTRL_HMM,5,500,0.9713433642432601,0.42946058091286304,0.0,10,0,58,5.939518599989242,0.06549029995221645,5.8740283000370255,0.7987551867219918,0.45714285714285713,0.2012448132780083,0.31958762886597936,0.0,
cat__levy_10d,cat,CTRL_HMM,6,500,2.552427092426264,0.39293139293139295,0.0,11,0,53,5.717598500006716,0.06190989998867735,5.655688600018038,0.7442827442827443,0.4134078212290503,0.25571725571725573,0.3333333333333333,0.0,
cat__levy_10d,cat,CTRL_HMM,7,500,1.4174321240554275,0.4211618257261411,0.0,10,0,56,4.873596299992641,0.05519339999591466,4.818402899996727,0.7510373443983402,0.4530386740331492,0.24896265560165975,0.325,0.0,
cat__levy_10d,cat,CTRL_HMM,8,500,2.1562470916447283,0.39544513457556935,0.0,9,0,57,4.911705100006657,0.05035029974533245,4.861354800261324,0.7412008281573499,0.42178770949720673,0.2546583850931677,0.3170731707317073,0.004140786749482402,0.5
cat__levy_10d,cat,CTRL_HMM,9,500,2.6337884547887844,0.3908523908523909,0.0,11,0,51,4.763985800003866,0.05115129989280831,4.712834500111057,0.735966735966736,0.4124293785310734,0.26403326403326405,0.33070866141732286,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,0,500,54.42247201111745,0.2875,0.0,12,0,50,5.2660035000008065,0.04142459998547565,5.224578900015331,0.42916666666666664,0.3106796116504854,0.5625,0.27037037037037037,0.008333333333333333,0.25
cat__rastrigin_10d,cat,CTRL_HMM,1,500,49.36412475437906,0.3201663201663202,0.0,11,0,56,5.165812899998855,0.04015380016062409,5.125659099838231,0.4760914760914761,0.3406113537117904,0.5239085239085239,0.30158730158730157,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,2,500,60.06291767972504,0.3125,0.0,12,1,54,5.071437799997511,0.04434590022719931,5.027091899770312,0.43333333333333335,0.3317307692307692,0.5666666666666667,0.2977941176470588,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,3,500,58.75726155568424,0.3068893528183716,0.0,13,0,47,4.942446900007781,0.03952029999345541,4.902926600014325,0.4488517745302714,0.3395348837209302,0.5511482254697286,0.2803030303030303,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,4,500,64.73733047869695,0.3381742738589212,0.0,10,0,54,5.980257999995956,0.053299999941373244,5.926958000054583,0.43983402489626555,0.37735849056603776,0.5601659751037344,0.3074074074074074,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,5,500,74.56754956622076,0.29375,0.0,12,0,48,5.030318899996928,0.042420900135766715,4.987897999861161,0.4791666666666667,0.28695652173913044,0.5208333333333334,0.3,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,6,500,74.28493809012153,0.2910602910602911,0.0,11,0,52,6.558109999998123,0.05628039993462153,6.501829600063502,0.4490644490644491,0.3101851851851852,0.5509355509355509,0.27547169811320754,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,7,500,67.95410854399228,0.3049792531120332,0.0,10,0,56,6.860426699990057,0.05150089999369811,6.808925799996359,0.43775933609958506,0.33649289099526064,0.5622406639004149,0.28044280442804426,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,8,500,63.116123684022746,0.3,0.0,13,0,51,5.216366799999378,0.03948219995072577,5.176884600048652,0.4395833333333333,0.2796208530805687,0.5604166666666667,0.3159851301115242,0.0,
cat__rastrigin_10d,cat,CTRL_HMM,9,500,66.22278115467464,0.348643006263048,0.0,13,0,51,5.921913800004404,0.043337700015399605,5.878576099989004,0.4759916492693111,0.3815789473684211,0.524008350730689,0.3187250996015936,0.0,
cat__schwefel_10d,cat,CTRL_HMM,0,500,1301.1076343862328,0.34791666666666665,0.0,12,0,48,4.965396700004931,0.03525029982847627,4.930146400176454,0.48125,0.36796536796536794,0.51875,0.3293172690763052,0.0,
cat__schwefel_10d,cat,CTRL_HMM,1,500,1425.4178351356586,0.34439834024896265,0.0,10,0,56,5.096523400003207,0.035125100213917904,5.061398299789289,0.4170124481327801,0.35323383084577115,0.58298755186722,0.33807829181494664,0.0,
cat__schwefel_10d,cat,CTRL_HMM,2,500,1159.325886825066,0.34024896265560167,0.0,10,0,56,6.681649699996342,0.06072819995461032,6.620921500041732,0.4315352697095436,0.35096153846153844,0.5684647302904564,0.33211678832116787,0.0,
cat__schwefel_10d,cat,CTRL_HMM,3,500,1722.4330559950276,0.33747412008281574,0.0,9,0,59,5.420114399996237,0.04107269995438401,5.379041700041853,0.4554865424430642,0.37727272727272726,0.5445134575569358,0.3041825095057034,0.0,
