task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
lcbench_126025,lcbench,FMP,0,200,-91.92168426513672,0.1871345029239766,0.0,4,2,11,0.4968263999908231,0.08991539932321757,0.40691100066760555,0.32748538011695905,0.17857142857142858,0.6374269005847953,0.1926605504587156,0.03508771929824561,0.16666666666666666
lcbench_126025,lcbench,FMP,1,200,-91.76752471923828,0.14619883040935672,0.0,3,3,15,0.588657200045418,0.09821509948233142,0.49044210056308657,0.25146198830409355,0.2558139534883721,0.6491228070175439,0.10810810810810811,0.09941520467836257,0.11764705882352941
lcbench_126025,lcbench,FMP,2,200,-98.37860107421875,0.15028901734104047,0.0,2,2,19,0.6609432999975979,0.10379200003808364,0.5571512999595143,0.1907514450867052,0.21212121212121213,0.7976878612716763,0.13043478260869565,0.011560693641618497,0.5
lcbench_126025,lcbench,FMP,3,200,-91.5650634765625,0.18023255813953487,0.0,3,2,15,0.6464118000003509,0.10368729953188449,0.5427245004684664,0.2441860465116279,0.21428571428571427,0.6976744186046512,0.175,0.05813953488372093,0.1
lcbench_126025,lcbench,FMP,4,200,-97.6305160522461,0.16091954022988506,0.0,2,1,18,0.6504764000419527,0.09967760043218732,0.5507987996097654,0.25862068965517243,0.08888888888888889,0.7068965517241379,0.17886178861788618,0.034482758620689655,0.3333333333333333
lcbench_126025,lcbench,FMP,5,200,-96.25962829589844,0.15204678362573099,0.0,4,2,12,0.5471824999549426,0.09467620024224743,0.4525062997126952,0.2807017543859649,0.16666666666666666,0.6257309941520468,0.1588785046728972,0.0935672514619883,0.0625
lcbench_126025,lcbench,FMP,6,200,-98.30207061767578,0.1569767441860465,0.0,3,2,15,0.5807071999879554,0.09749640006339177,0.4832107999245636,0.3023255813953488,0.07692307692307693,0.6744186046511628,0.19827586206896552,0.023255813953488372,0.0
lcbench_126025,lcbench,FMP,7,200,-91.53327941894531,0.2441860465116279,0.0,2,3,16,0.6442424000124447,0.1027814001427032,0.5414609998697415,0.22674418604651161,0.23076923076923078,0.7732558139534884,0.24812030075187969,0.0,
lcbench_126025,lcbench,FMP,8,200,-91.97464752197266,0.15517241379310345,0.0,1,2,20,0.6595802999800071,0.09612370043760166,0.5634565995424055,0.22413793103448276,0.15384615384615385,0.7183908045977011,0.144,0.05747126436781609,0.3
lcbench_126025,lcbench,FMP,9,200,-97.69309997558594,0.1686046511627907,0.0,2,3,14,0.6083481999812648,0.10297440056456253,0.5053737994167022,0.2558139534883721,0.20454545454545456,0.7383720930232558,0.15748031496062992,0.005813953488372093,0.0
lcbench_126025,lcbench,FMP,10,200,-98.56228637695312,0.1676300578034682,0.0,3,1,19,0.6465481999912299,0.0975800002925098,0.5489681996987201,0.28901734104046245,0.1,0.6647398843930635,0.19130434782608696,0.046242774566473986,0.25
lcbench_126025,lcbench,FMP,11,200,-92.0350112915039,0.17341040462427745,0.0,1,3,21,0.6624472999828868,0.09902499982854351,0.5634223001543432,0.3063583815028902,0.24528301886792453,0.6763005780346821,0.13675213675213677,0.017341040462427744,0.3333333333333333
lcbench_126025,lcbench,FMP,12,200,-92.44176483154297,0.1676300578034682,0.0,3,1,17,0.7008598999818787,0.10775589942932129,0.5931040005525574,0.2138728323699422,0.08108108108108109,0.7167630057803468,0.20161290322580644,0.06936416184971098,0.08333333333333333
lcbench_126025,lcbench,FMP,13,200,-92.06275177001953,0.15606936416184972,0.0,3,1,16,0.6084485000465065,0.09571489982772619,0.5127336002187803,0.3063583815028902,0.09433962264150944,0.6184971098265896,0.18691588785046728,0.07514450867052024,0.15384615384615385
lcbench_126025,lcbench,FMP,14,200,-92.15973663330078,0.21965317919075145,0.0,1,3,20,0.6602676999755204,0.09535659989342093,0.5649111000820994,0.35260115606936415,0.21311475409836064,0.6242774566473989,0.23148148148148148,0.023121387283236993,0.0
lcbench_126025,lcbench,FMP,15,200,-92.57198333740234,0.18023255813953487,0.0,3,2,14,0.6332682999782264,0.10439219995168969,0.5288761000265367,0.3023255813953488,0.17307692307692307,0.6627906976744186,0.18421052631578946,0.03488372093023256,0.16666666666666666
lcbench_126025,lcbench,FMP,16,200,-91.92168426513672,0.14450867052023122,0.0,2,2,18,0.5848566999775358,0.09879769961116835,0.4860590003663674,0.31213872832369943,0.16666666666666666,0.6473988439306358,0.14285714285714285,0.04046242774566474,0.0
lcbench_126025,lcbench,FMP,17,200,-98.35646057128906,0.1839080459770115,0.0,1,2,20,0.7454750000033528,0.10093939997022972,0.644535600033123,0.25287356321839083,0.25,0.7471264367816092,0.16153846153846155,0.0,
lcbench_126025,lcbench,FMP,18,200,-92.06275177001953,0.19186046511627908,0.0,3,2,16,0.5638435000437312,0.09284140018280596,0.4710020998609252,0.36046511627906974,0.12903225806451613,0.5930232558139535,0.22549019607843138,0.046511627906976744,0.25
lcbench_126025,lcbench,FMP,19,200,-97.6495132446289,0.13450292397660818,0.0,4,2,15,0.5675749000511132,0.09385690040653571,0.4737179996445775,0.19883040935672514,0.2647058823529412,0.7076023391812866,0.09917355371900827,0.0935672514619883,0.125
lcbench_126026,lcbench,FMP,0,200,-99.1494369506836,0.23121387283236994,0.0,0,4,21,0.7019981000339612,0.10629970021545887,0.5956983998185024,0.23121387283236994,0.35,0.7630057803468208,0.1893939393939394,0.005780346820809248,1.0
