task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
lcbench_126025,lcbench,FMP_DREAM,0,200,-91.64543151855469,0.265625,0.7760416666666666,0,0,36,0.8282517999759875,0.10793080000439659,0.7203209999715909,0.34375,0.2727272727272727,0.65625,0.2619047619047619,0.0,
lcbench_126025,lcbench,FMP_DREAM,1,200,-97.85049438476562,0.20833333333333334,0.7135416666666666,0,0,36,0.8324955999851227,0.10588350030593574,0.7266120996791869,0.21875,0.16666666666666666,0.78125,0.22,0.0,
lcbench_126025,lcbench,FMP_DREAM,2,200,-94.83525085449219,0.234375,0.8020833333333334,0,0,36,0.8171501999604516,0.11068879993399605,0.7064614000264555,0.3645833333333333,0.3,0.6354166666666666,0.19672131147540983,0.0,
lcbench_126025,lcbench,FMP_DREAM,3,200,-91.44184112548828,0.1875,0.734375,0,0,36,0.814107200014405,0.1035177995217964,0.7105894004926085,0.25,0.20833333333333334,0.734375,0.1702127659574468,0.015625,0.6666666666666666
lcbench_126025,lcbench,FMP_DREAM,4,200,-98.35908508300781,0.22916666666666666,0.7395833333333334,0,0,36,0.794699199963361,0.10337600018829107,0.69132319977507,0.2604166666666667,0.26,0.7395833333333334,0.21830985915492956,0.0,
lcbench_126025,lcbench,FMP_DREAM,5,200,-91.8014907836914,0.19270833333333334,0.78125,0,0,36,0.7844696000101976,0.10382320015924051,0.6806463998509571,0.265625,0.27450980392156865,0.7291666666666666,0.15714285714285714,0.005208333333333333,1.0
lcbench_126025,lcbench,FMP_DREAM,6,200,-98.89974212646484,0.21875,0.7395833333333334,0,0,36,0.8434532999526709,0.10877720027929172,0.7346760996733792,0.28125,0.2037037037037037,0.71875,0.2246376811594203,0.0,
lcbench_126025,lcbench,FMP_DREAM,7,200,-98.65632629394531,0.15625,0.8072916666666666,0,0,36,0.8147559000062756,0.10732489940710366,0.707431000599172,0.18229166666666666,0.14285714285714285,0.8177083333333334,0.1592356687898089,0.0,
lcbench_126025,lcbench,FMP_DREAM,8,200,-91.75142669677734,0.20833333333333334,0.7760416666666666,0,0,36,0.8259135000407696,0.10772419994464144,0.7181893000961281,0.3489583333333333,0.2537313432835821,0.6510416666666666,0.184,0.0,
lcbench_126025,lcbench,FMP_DREAM,9,200,-97.84415435791016,0.17708333333333334,0.7135416666666666,0,0,36,0.8279358999570832,0.11119900015182793,0.7167368998052552,0.21875,0.23809523809523808,0.78125,0.16,0.0,
lcbench_126025,lcbench,FMP_DREAM,10,200,-91.8379135131836,0.16666666666666666,0.7552083333333334,0,0,36,0.8241878999979235,0.10606099996948615,0.7181269000284374,0.23958333333333334,0.17391304347826086,0.7604166666666666,0.1643835616438356,0.0,
lcbench_126025,lcbench,FMP_DREAM,11,200,-92.33815002441406,0.24479166666666666,0.7447916666666666,0,0,36,0.8624884000164457,0.11648040032014251,0.7460079996963032,0.3333333333333333,0.3125,0.6614583333333334,0.2047244094488189,0.005208333333333333,1.0
lcbench_126025,lcbench,FMP_DREAM,12,200,-92.30504608154297,0.14583333333333334,0.8125,0,0,36,0.8386597000062466,0.11196229985216632,0.7266974001540802,0.25,0.22916666666666666,0.7239583333333334,0.1079136690647482,0.026041666666666668,0.4
lcbench_126025,lcbench,FMP_DREAM,13,200,-92.31983184814453,0.21354166666666666,0.7395833333333334,0,0,36,0.8855495000025257,0.11440439993748441,0.7711451000650413,0.3229166666666667,0.24193548387096775,0.6666666666666666,0.1953125,0.010416666666666666,0.5
lcbench_126025,lcbench,FMP_DREAM,14,200,-93.8183822631836,0.21875,0.75,0,0,36,0.8674022000050172,0.11529470008099452,0.7521074999240227,0.265625,0.13725490196078433,0.734375,0.24822695035460993,0.0,
lcbench_126025,lcbench,FMP_DREAM,15,200,-92.48480224609375,0.1875,0.6979166666666666,0,0,36,0.8697292000288144,0.11266149970469996,0.7570677003241144,0.3020833333333333,0.20689655172413793,0.6979166666666666,0.1791044776119403,0.0,
