task,suite,method,seed,n_evals,best_loss,acceptance_rate,kernel_fraction_dream,n_rescues,n_reseeds,n_bw_refits,time_total,time_objective,time_overhead,frac_exploit,acc_exploit,frac_explore,acc_explore,frac_trapped,acc_trapped
cat__ackley_10d,cat,FMP,0,500,5.951347015811624,0.34959349593495936,0.0,0,0,96,5.080192199995508,0.03265440007089637,5.047537799924612,0.4369918699186992,0.35348837209302325,0.5630081300813008,0.34657039711191334,0.0,
cat__ackley_10d,cat,FMP,1,500,5.3636610719685756,0.3597560975609756,0.0,0,0,96,5.241256699999212,0.033469300193246454,5.207787399805966,0.3861788617886179,0.39473684210526316,0.6117886178861789,0.33554817275747506,0.0020325203252032522,1.0
cat__ackley_10d,cat,FMP,2,500,6.616953525505885,0.3719512195121951,0.0,0,0,96,5.02173490000132,0.031465099804336205,4.990269800196984,0.4959349593495935,0.3770491803278688,0.5040650406504065,0.36693548387096775,0.0,
cat__ackley_10d,cat,FMP,3,500,8.661466544347117,0.3130081300813008,0.0,0,0,96,5.0907355999952415,0.03158849997271318,5.059147100022528,0.4349593495934959,0.3130841121495327,0.5650406504065041,0.3129496402877698,0.0,
cat__ackley_10d,cat,FMP,4,500,6.883032809545879,0.3353658536585366,0.0,0,0,96,5.223857999997563,0.03280920004181098,5.191048799955752,0.42073170731707316,0.32367149758454106,0.5792682926829268,0.34385964912280703,0.0,
cat__ackley_10d,cat,FMP,5,500,6.054886326207953,0.3170731707317073,0.0,0,0,96,5.331544599990593,0.036123300131293945,5.295421299859299,0.42276422764227645,0.35096153846153844,0.5752032520325203,0.28975265017667845,0.0020325203252032522,1.0
cat__ackley_10d,cat,FMP,6,500,7.563334683596398,0.40040650406504064,0.0,0,0,96,5.31529810000211,0.033071300087613054,5.282226799914497,0.4796747967479675,0.423728813559322,0.5203252032520326,0.37890625,0.0,
cat__ackley_10d,cat,FMP,7,500,5.380862836154602,0.37601626016260165,0.0,0,0,96,5.137787200001185,0.031499900098424405,5.10628729990276,0.4349593495934959,0.42990654205607476,0.5650406504065041,0.3345323741007194,0.0,
cat__ackley_10d,cat,FMP,8,500,6.167193773567206,0.35365853658536583,0.0,0,0,96,5.18521189999592,0.03327409994381014,5.15193780005211,0.44308943089430897,0.3577981651376147,0.556910569105691,0.35036496350364965,0.0,
cat__ackley_10d,cat,FMP,9,500,5.330127933679403,0.3719512195121951,0.0,0,0,96,5.18775270000333,0.03452580000157468,5.153226900001755,0.42276422764227645,0.40865384615384615,0.5772357723577236,0.34507042253521125,0.0,
cat__ackley_10d,cat,FMP,10,500,5.49261828388758,0.3617886178861789,0.0,0,0,96,5.2647911999956705,0.033829400010290556,5.23096179998538,0.3902439024390244,0.4010416666666667,0.6077235772357723,0.33444816053511706,0.0020325203252032522,1.0
cat__ackley_10d,cat,FMP,11,500,5.939741600511965,0.3597560975609756,0.0,0,0,96,5.359935699991183,0.035336599888978526,5.324599100102205,0.4451219512195122,0.3744292237442922,0.5548780487804879,0.34798534798534797,0.0,
cat__ackley_10d,cat,FMP,12,500,5.744305907011036,0.3475609756097561,0.0,0,0,96,5.013197799999034,0.03347539984679315,4.979722400152241,0.40040650406504064,0.3553299492385787,0.5995934959349594,0.3423728813559322,0.0,
cat__ackley_10d,cat,FMP,13,500,5.847625078173319,0.3617886178861789,0.0,0,0,96,5.251699599990388,0.03482710014213808,5.21687249984825,0.4634146341463415,0.41228070175438597,0.5365853658536586,0.3181818181818182,0.0,
cat__ackley_10d,cat,FMP,14,500,5.320934519095019,0.32113821138211385,0.0,0,0,96,5.028476599996793,0.033468200053903274,4.99500839994289,0.35772357723577236,0.3522727272727273,0.6422764227642277,0.3037974683544304,0.0,
cat__ackley_10d,cat,FMP,15,500,6.304812871267732,0.35772357723577236,0.0,0,0,96,5.232203799998388,0.03463959990767762,5.19756420009071,0.4247967479674797,0.3684210526315789,0.5752032520325203,0.3498233215547703,0.0,
cat__ackley_10d,cat,FMP,16,500,4.740534794754346,0.3252032520325203,0.0,0,0,96,5.4827341999916825,0.03654300016933121,5.446191199822351,0.3638211382113821,0.39106145251396646,0.6361788617886179,0.28753993610223644,0.0,
cat__ackley_10d,cat,FMP,17,500,7.221034355939114,0.37601626016260165,0.0,0,0,96,5.3447472999978345,0.03522540020640008,5.309521899791434,0.4613821138211382,0.3832599118942731,0.5386178861788617,0.36981132075471695,0.0,
cat__ackley_10d,cat,FMP,18,500,6.958679486352596,0.37398373983739835,0.0,0,0,96,5.3732932999992045,0.03474650016869418,5.33854679983051,0.44715447154471544,0.42727272727272725,0.5528455284552846,0.33088235294117646,0.0,
cat__ackley_10d,cat,FMP,19,500,6.252747525360579,0.3516260162601626,0.0,0,0,96,5.313065199996345,0.03598369992687367,5.277081500069471,0.46747967479674796,0.3739130434782609,0.532520325203252,0.3320610687022901,0.0,
cat__levy_10d,cat,FMP,0,500,0.6236259428636518,0.47764227642276424,0.0,0,0,96,5.16093080000428,0.04286330004106276,5.118067499963217,0.7703252032520326,0.5118733509234829,0.22967479674796748,0.36283185840707965,0.0,
cat__levy_10d,cat,FMP,1,500,3.3960155784876775,0.4146341463414634,0.0,0,0,96,5.166773699995247,0.041955999957281165,5.1248177000379656,0.7621951219512195,0.41333333333333333,0.23780487804878048,0.4188034188034188,0.0,
cat__levy_10d,cat,FMP,2,500,1.0397693572411328,0.4329268292682927,0.0,0,0,96,5.210969799998566,0.04288550002092961,5.168084299977636,0.709349593495935,0.4498567335243553,0.27235772357723576,0.41044776119402987,0.018292682926829267,0.1111111111111111
cat__levy_10d,cat,FMP,3,500,0.6422956001122988,0.45121951219512196,0.0,0,0,96,4.971242200001143,0.041066399950068444,4.9301758000510745,0.8109756097560976,0.44360902255639095,0.18902439024390244,0.4838709677419355,0.0,
cat__levy_10d,cat,FMP,4,500,1.374524594609424,0.34552845528455284,0.0,0,0,96,5.231869600000209,0.04249190023983829,5.189377699760371,0.6910569105691057,0.3558823529411765,0.3089430894308943,0.3223684210526316,0.0,
cat__levy_10d,cat,FMP,5,500,2.6262934762770436,0.38414634146341464,0.0,0,0,96,5.2410302000062075,0.04316170011588838,5.197868499890319,0.6585365853658537,0.37037037037037035,0.34146341463414637,0.4107142857142857,0.0,
cat__levy_10d,cat,FMP,6,500,1.7052021927068335,0.4349593495934959,0.0,0,0,96,5.216999800002668,0.048241100274026394,5.168758699728642,0.7357723577235772,0.44751381215469616,0.26422764227642276,0.4,0.0,
cat__levy_10d,cat,FMP,7,500,1.0154510089512827,0.37601626016260165,0.0,0,0,96,5.241049500007648,0.04195980001532007,5.199089699992328,0.6869918699186992,0.3994082840236686,0.3130081300813008,0.3246753246753247,0.0,
cat__levy_10d,cat,FMP,8,500,2.428206147308023,0.3882113821138211,0.0,0,0,96,5.201799899994512,0.04635370004689321,5.155446199947619,0.693089430894309,0.39002932551319647,0.30691056910569103,0.3841059602649007,0.0,
cat__levy_10d,cat,FMP,9,500,1.8560655379504898,0.4817073170731707,0.0,0,0,96,5.451083300009486,0.04646600013074931,5.404617299878737,0.7703252032520326,0.49076517150395776,0.22967479674796748,0.45132743362831856,0.0,
cat__levy_10d,cat,FMP,10,500,1.5220067031240136,0.35365853658536583,0.0,0,0,96,5.069554800007609,0.0427158999373205,5.026838900070288,0.6829268292682927,0.35714285714285715,0.3170731707317073,0.34615384615384615,0.0,
cat__levy_10d,cat,FMP,11,500,1.6850346365241315,0.4186991869918699,0.0,0,0,96,5.181342600000789,0.048958699873765,5.132383900127024,0.8109756097560976,0.41102756892230574,0.18902439024390244,0.45161290322580644,0.0,
cat__levy_10d,cat,FMP,12,500,1.1175435053421248,0.3638211382113821,0.0,0,0,96,5.066330700006802,0.04302330026985146,5.02330739973695,0.6138211382113821,0.3708609271523179,0.3861788617886179,0.3526315789473684,0.0,
