suite,budget,method,mean,avg_rank,n_tasks
lcbench,50,CMAES,88.69107893797067,3.8076923076923075,26
lcbench,50,FMP,86.73959158017085,6.230769230769231,26
lcbench,50,FMP_DREAM,87.03358956116895,6.038461538461538,26
lcbench,50,GP,92.441989333813,1.0384615384615385,26
lcbench,50,RS,85.17082327695994,7.846153846153846,26
lcbench,50,SMAC,88.79894024408782,3.3461538461538463,26
lcbench,50,TPE,88.64774605677677,2.8076923076923075,26
lcbench,50,TPE_HB,86.89096702979161,4.884615384615385,26
lcbench,100,CMAES,89.25623475955082,4.8076923076923075,26
lcbench,100,FMP,88.92257722707896,5.384615384615385,26
lcbench,100,FMP_DREAM,88.87319987003622,5.576923076923077,26
lcbench,100,GP,92.92635412949781,1.0769230769230769,26
lcbench,100,RS,86.21284100459174,7.961538461538462,26
lcbench,100,SMAC,90.96319910196159,2.3846153846153846,26
lcbench,100,TPE,89.70882983574501,3.1538461538461537,26
lcbench,100,TPE_HB,87.58238502649161,5.653846153846154,26
lcbench,200,CMAES,90.17260890373817,4.8076923076923075,26
lcbench,200,FMP,90.40654977651744,5.038461538461538,26
lcbench,200,FMP_DREAM,90.55526282970722,5.269230769230769,26
lcbench,200,GP,93.11924175849327,1.1538461538461537,26
lcbench,200,RS,87.21617977068975,7.884615384615385,26
lcbench,200,SMAC,92.19044569088861,1.9615384615384615,26
lcbench,200,TPE,90.27278187825128,3.8846153846153846,26
lcbench,200,TPE_HB,88.39091695272006,6.0,26
