suite,task,method,mean,std,sem,median,q25,q75,n
lcbench,lcbench_167152,CMAES,-97.67219352722168,0.2204763939396026,0.04930002042829709,-97.56369018554688,-97.82400131225586,-97.50704002380371,20
lcbench,lcbench_167152,GP,-98.52905387878418,0.015466690446009979,0.0034584571224221456,-98.5337142944336,-98.5338077545166,-98.53202247619629,20
lcbench,lcbench_167152,RS,-97.2296817779541,0.18950025037619628,0.04237354415944044,-97.20334243774414,-97.29961204528809,-97.08309173583984,20
lcbench,lcbench_167152,TPE,-97.52349014282227,0.11570926654609612,0.025873378562371152,-97.52889251708984,-97.56917762756348,-97.50099563598633,20
lcbench,lcbench_167152,TPE_HB,-97.46008758544922,0.26111533046965224,0.058387162889746574,-97.50415802001953,-97.58556365966797,-97.23421669006348,20
lcbench,lcbench_167168,CMAES,-86.83901863098144,1.8679594813670908,0.4176884379552065,-87.70635986328125,-88.34502220153809,-85.49599075317383,20
lcbench,lcbench_167168,GP,-88.0171615600586,1.111122539820416,0.24845455303706673,-87.46844100952148,-89.28231048583984,-86.9981689453125,20
lcbench,lcbench_167168,RS,-82.17912940979004,1.9706493500776845,0.4406505906589478,-82.19778823852539,-83.53522300720215,-81.03640937805176,20
lcbench,lcbench_167168,TPE,-86.26488876342773,3.4414636137247134,0.7695346582380534,-86.76340866088867,-89.25385856628418,-84.94876670837402,20
lcbench,lcbench_167168,TPE_HB,-83.15543479919434,3.0510473266743205,0.6822349225012786,-83.64905548095703,-85.5622615814209,-81.95273971557617,20
lcbench,lcbench_167185,CMAES,-97.40157966613769,0.1898816679417487,0.04245883171987931,-97.42868041992188,-97.47496223449707,-97.35808944702148,20
lcbench,lcbench_167185,GP,-97.86935691833496,0.0392730530787932,0.008781721636814,-97.86468124389648,-97.89399147033691,-97.83109283447266,20
lcbench,lcbench_167185,RS,-96.70751686096192,0.2298073067059954,0.051386475952074795,-96.70681381225586,-96.85153388977051,-96.54574012756348,20
lcbench,lcbench_167185,TPE,-97.30826835632324,0.3281991042591111,0.07338755072779105,-97.39916229248047,-97.61505889892578,-96.98583984375,20
lcbench,lcbench_167185,TPE_HB,-97.09942817687988,0.354349389884956,0.07923493235683372,-97.0266342163086,-97.34918022155762,-96.90419387817383,20
lcbench,lcbench_168329,CMAES,-36.38613052368164,3.4953589859380907,0.7815860298322302,-35.478872299194336,-38.61106300354004,-33.297322273254395,20
lcbench,lcbench_168329,GP,-48.06264038085938,1.6012495363405448,0.3580502812197478,-49.21048545837402,-49.21452331542969,-45.93444061279297,20
lcbench,lcbench_168329,RS,-31.79375696182251,3.4676340952832,0.7753865558149219,-32.201762199401855,-34.17823886871338,-29.555267333984375,20
lcbench,lcbench_168329,TPE,-39.748562049865725,6.766417323483641,1.5130169099441608,-37.98215293884277,-43.6914005279541,-34.67678928375244,20
lcbench,lcbench_168329,TPE_HB,-33.652336025238036,5.178724834821191,1.1579980767426552,-35.271894454956055,-36.16157627105713,-32.64215040206909,20
lcbench,lcbench_168330,CMAES,-73.66787338256836,1.2063029596361776,0.2697375419205666,-73.5882797241211,-74.47707939147949,-72.73924255371094,20
