suite,task,method,mean,std,sem,median,q25,q75,n
lcbench,lcbench_126025,CMAES,-92.00151824951172,0.5238164727514009,0.11712892408062954,-92.13460540771484,-92.32124900817871,-91.89330101013184,20
lcbench,lcbench_126025,FMP_DREAM,-93.04444694519043,2.2751450024508753,0.5087378884149085,-92.27666854858398,-95.17968559265137,-91.00946426391602,20
lcbench,lcbench_126025,GP,-97.73077125549317,0.020097798879890362,0.004494004449356147,-97.72254943847656,-97.72254943847656,-97.72254943847656,20
lcbench,lcbench_126025,L1_K1_VITERBI_SUB,-92.0528003692627,2.726121209947788,0.6095792340347228,-91.05877685546875,-94.2703971862793,-89.97061347961426,20
lcbench,lcbench_126025,RS,-91.1937973022461,1.2802281448533508,0.2862677158600539,-91.35102081298828,-92.06101036071777,-90.12882804870605,20
lcbench,lcbench_126025,TPE,-93.7236312866211,2.517145223052647,0.5628507827984589,-92.42325592041016,-94.95578575134277,-92.13478469848633,20
lcbench,lcbench_126025,TPE_HB,-92.55114784240723,2.860699424114731,0.6396718375515046,-92.50879287719727,-92.63203620910645,-92.24283981323242,20
lcbench,lcbench_126026,CMAES,-97.99653778076171,0.7120740358405216,0.15922459491520238,-97.7687873840332,-98.5175552368164,-97.63732719421387,20
lcbench,lcbench_126026,FMP_DREAM,-98.43519096374511,0.8958628277883165,0.2003210181449863,-98.8184814453125,-99.06967163085938,-97.53539657592773,20
lcbench,lcbench_126026,GP,-99.64581642150878,0.03308645878410484,0.007398357097600457,-99.6244888305664,-99.66259384155273,-99.6244888305664,20
lcbench,lcbench_126026,L1_K1_VITERBI_SUB,-97.8269832611084,0.8842107929595547,0.1977155439496576,-97.98576354980469,-98.52920722961426,-97.35155487060547,20
lcbench,lcbench_126026,RS,-98.02797241210938,0.43320908507214834,0.09686849626918093,-97.96949005126953,-98.46673965454102,-97.70363426208496,20
lcbench,lcbench_126026,TPE,-98.74015235900879,0.7469283294822109,0.16701825190425842,-99.03191375732422,-99.34783172607422,-97.84452438354492,20
lcbench,lcbench_126026,TPE_HB,-98.68646926879883,0.7719089601090992,0.17260409072451183,-98.92181396484375,-99.3611831665039,-97.80367088317871,20
lcbench,lcbench_126029,CMAES,-95.02138557434083,0.3204336751526209,0.07165114799213448,-94.93388366699219,-95.31953620910645,-94.73662757873535,20
lcbench,lcbench_126029,FMP_DREAM,-94.43162651062012,0.6364128724606146,0.1423062444577833,-94.37227249145508,-94.57748603820801,-94.02243614196777,20
lcbench,lcbench_126029,GP,-98.02069282531738,0.07094235233232832,0.015863192229882625,-98.03319549560547,-98.0412368774414,-98.03198051452637,20
lcbench,lcbench_126029,L1_K1_VITERBI_SUB,-94.26323432922364,0.8089453984393176,0.18088569009959615,-94.51382446289062,-94.89086723327637,-93.65604209899902,20
lcbench,lcbench_126029,RS,-93.9506046295166,0.693015273773358,0.15496292616028556,-94.01350021362305,-94.22601127624512,-93.51904678344727,20
lcbench,lcbench_126029,TPE,-95.37356224060059,0.8185407539188087,0.18303127681163872,-95.2988052368164,-95.56921005249023,-94.87407493591309,20
lcbench,lcbench_126029,TPE_HB,-95.26446762084962,0.37900523180877604,0.08474814621524936,-95.18953704833984,-95.67553901672363,-94.9146900177002,20
lcbench,lcbench_146212,CMAES,-99.02777557373047,0.05586680671781507,0.012492197750688066,-99.03641128540039,-99.06484413146973,-99.00165939331055,20
lcbench,lcbench_146212,FMP_DREAM,-98.87957420349122,0.11850132396829731,0.026497701581683443,-98.9029541015625,-98.92936706542969,-98.83534622192383,20
lcbench,lcbench_146212,GP,-99.0684856414795,0.04971793143653201,0.011117267439276017,-99.07023239135742,-99.10708427429199,-99.02800750732422,20
lcbench,lcbench_146212,L1_K1_VITERBI_SUB,-98.68035736083985,0.2784009447112047,0.062252343737441186,-98.73126220703125,-98.84920692443848,-98.59124374389648,20
lcbench,lcbench_146212,RS,-98.59735069274902,0.23277719726464982,0.05205056366956394,-98.61324691772461,-98.77871513366699,-98.46946144104004,20
lcbench,lcbench_146212,TPE,-99.06018180847168,0.06980013099618732,0.01560778377458701,-99.05662536621094,-99.1092586517334,-99.00543594360352,20
lcbench,lcbench_146212,TPE_HB,-98.93825874328613,0.13043133011906413,0.029165332054194106,-98.97447204589844,-99.03603172302246,-98.8784294128418,20
lcbench,lcbench_167104,CMAES,-94.12795448303223,0.6339090492175531,0.14174637256027112,-94.20247268676758,-94.45682144165039,-93.89834976196289,20
lcbench,lcbench_167104,FMP_DREAM,-93.7917594909668,0.5934158897009659,0.13269182682998773,-93.98441314697266,-94.17821502685547,-93.39962005615234,20
lcbench,lcbench_167104,GP,-96.05894508361817,0.1373203917184062,0.030705773057925784,-96.12679290771484,-96.14045715332031,-96.04745674133301,20
lcbench,lcbench_167104,L1_K1_VITERBI_SUB,-93.71992492675781,0.6431530445771112,0.14381339276103786,-93.78571319580078,-94.15675354003906,-93.41159439086914,20
lcbench,lcbench_167104,RS,-93.68848762512206,0.7114420623555574,0.15908328134796693,-93.74973678588867,-94.218017578125,-93.23248100280762,20
lcbench,lcbench_167104,TPE,-94.65921020507812,0.4727129380780394,0.10570182633861439,-94.49525833129883,-94.81744194030762,-94.38636779785156,20
lcbench,lcbench_167104,TPE_HB,-94.32419815063477,0.7599636196340595,0.16993303139285476,-94.4843521118164,-94.85641670227051,-94.08263778686523,20
lcbench,lcbench_167149,CMAES,-98.3649398803711,0.3173809291555968,0.07096853323539487,-98.25483703613281,-98.67486572265625,-98.1488208770752,20
lcbench,lcbench_167149,FMP_DREAM,-98.2698371887207,0.47608677199450916,0.10645623853681571,-98.32176971435547,-98.56726837158203,-97.91631126403809,20
lcbench,lcbench_167149,GP,-99.43963470458985,0.054432844736176204,0.012171554103877694,-99.4724006652832,-99.48141479492188,-99.37786483764648,20
lcbench,lcbench_167149,L1_K1_VITERBI_SUB,-97.80463333129883,0.4206597827599159,0.09406238696514671,-97.73746871948242,-98.17981147766113,-97.55121994018555,20
lcbench,lcbench_167149,RS,-97.90824432373047,0.3524892412228378,0.0788189904711585,-97.8303451538086,-98.09997367858887,-97.70112228393555,20
lcbench,lcbench_167149,TPE,-98.70552520751953,0.40442060782974487,0.09043119706090952,-98.80208206176758,-99.020751953125,-98.37231826782227,20
lcbench,lcbench_167149,TPE_HB,-98.92638511657715,0.2660336515788005,0.05948693292326951,-99.00619125366211,-99.07429504394531,-98.76599884033203,20
lcbench,lcbench_167152,CMAES,-97.55778083801269,0.14762536458745223,0.033010035042073414,-97.51345443725586,-97.54210090637207,-97.49429702758789,20
lcbench,lcbench_167152,FMP_DREAM,-97.41437873840331,0.2786114337621909,0.062299410520093704,-97.33246994018555,-97.56964302062988,-97.22132873535156,20
lcbench,lcbench_167152,GP,-98.51528930664062,0.046670737064223186,0.0104358940635625,-98.52939224243164,-98.53343391418457,-98.52694702148438,20
lcbench,lcbench_167152,L1_K1_VITERBI_SUB,-97.23343811035156,0.2822966234611857,0.06312344398778753,-97.27177810668945,-97.4021110534668,-97.0906867980957,20
lcbench,lcbench_167152,RS,-97.2296817779541,0.18950025037619628,0.04237354415944044,-97.20334243774414,-97.29961204528809,-97.08309173583984,20
lcbench,lcbench_167152,TPE,-97.51127662658692,0.22983224481619208,0.051392052283038114,-97.5194091796875,-97.58881378173828,-97.34351348876953,20
lcbench,lcbench_167152,TPE_HB,-97.43770599365234,0.4309731932971206,0.09636853566925177,-97.47292709350586,-97.64169120788574,-97.14338302612305,20
lcbench,lcbench_167168,CMAES,-87.34044036865234,1.073983501984063,0.24015001171496428,-87.53731536865234,-88.14321899414062,-86.52075958251953,20
lcbench,lcbench_167168,FMP_DREAM,-84.99944114685059,2.747206372428125,0.614294019696989,-85.73503112792969,-86.82549667358398,-83.71496772766113,20
lcbench,lcbench_167168,GP,-88.12978897094726,1.1875062416097157,0.26553446799446134,-87.53448867797852,-89.41539001464844,-87.00032234191895,20
lcbench,lcbench_167168,L1_K1_VITERBI_SUB,-82.92667655944824,3.6348328429601398,0.8127733323707695,-84.1871223449707,-85.5214958190918,-80.7238712310791,20
