suite,task,method,mean,std,sem,median,q25,q75,n
lcbench,lcbench_126025,CMAES,-93.91289863586425,2.270187952440895,0.5076294583358902,-93.32827758789062,-96.11883735656738,-91.95965003967285,20
lcbench,lcbench_126025,FMP,-93.3399543762207,2.991197007309427,0.6688519842437816,-91.96224594116211,-96.71749114990234,-91.43146896362305,20
lcbench,lcbench_126025,FMP_DREAM,-94.43059196472169,3.0303517573798118,0.6776072525237211,-92.4114761352539,-97.84573936462402,-91.82880783081055,20
lcbench,lcbench_126025,GP,-97.72823600769043,0.01750299579565971,0.0039137888408989985,-97.72254943847656,-97.72254943847656,-97.72254943847656,20
lcbench,lcbench_126025,RS,-91.1937973022461,1.2802281448533508,0.2862677158600539,-91.35102081298828,-92.06101036071777,-90.12882804870605,20
lcbench,lcbench_126025,SMAC,-95.7944465637207,3.620995734825975,0.8096792609307681,-95.85112380981445,-99.3569221496582,-92.46345901489258,20
lcbench,lcbench_126025,TPE,-94.68638648986817,2.983133318212708,0.667048888546813,-92.4865837097168,-97.66562843322754,-92.31798553466797,20
lcbench,lcbench_126025,TPE_HB,-92.98912467956544,1.8178274847550444,0.40647858272797405,-92.54973602294922,-92.64987754821777,-92.1759090423584,20
lcbench,lcbench_126026,CMAES,-98.87271347045899,0.7642610529785681,0.1708939667015645,-99.13035202026367,-99.44242858886719,-98.6389331817627,20
lcbench,lcbench_126026,FMP,-98.27436065673828,0.9746820256768259,0.21794552658605834,-98.0865249633789,-99.26705932617188,-97.55523109436035,20
lcbench,lcbench_126026,FMP_DREAM,-99.21067008972167,0.6040793567393219,0.13507625054734645,-99.44281387329102,-99.65841102600098,-99.0779857635498,20
lcbench,lcbench_126026,GP,-99.64811248779297,0.01967661858676238,0.004399825672733626,-99.66230773925781,-99.66287994384766,-99.6244888305664,20
lcbench,lcbench_126026,RS,-98.02797241210938,0.43320908507214834,0.09686849626918093,-97.96949005126953,-98.46673965454102,-97.70363426208496,20
lcbench,lcbench_126026,SMAC,-99.54720497131348,0.4666043234927688,0.10433589859251297,-99.73247909545898,-99.74256134033203,-99.61337661743164,20
lcbench,lcbench_126026,TPE,-99.01153335571288,0.822838716483038,0.18399233045747498,-99.52762222290039,-99.5730037689209,-98.0171070098877,20
lcbench,lcbench_126026,TPE_HB,-98.59080085754394,0.9860466758061645,0.22048673960902834,-98.98372650146484,-99.37388610839844,-97.73177719116211,20
lcbench,lcbench_126029,CMAES,-95.72096138000488,1.0077094557080786,0.2253306844532577,-95.31946182250977,-96.53544616699219,-95.08011817932129,20
lcbench,lcbench_126029,FMP,-95.25638427734376,1.2690735745786765,0.28377347812065734,-94.81391525268555,-95.37595176696777,-94.61122131347656,20
lcbench,lcbench_126029,FMP_DREAM,-95.87328414916992,1.124969476945171,0.2515508223061779,-95.26491928100586,-97.06933784484863,-95.0242805480957,20
lcbench,lcbench_126029,GP,-97.94290122985839,0.5117918031102027,0.11444012620815977,-98.03263473510742,-98.04161071777344,-98.00740432739258,20
lcbench,lcbench_126029,RS,-93.9506046295166,0.693015273773358,0.15496292616028556,-94.01350021362305,-94.22601127624512,-93.51904678344727,20
lcbench,lcbench_126029,SMAC,-96.00444679260254,1.4515262162324765,0.32457112906188756,-95.79605865478516,-95.85865592956543,-95.19694900512695,20
lcbench,lcbench_126029,TPE,-95.73272476196288,1.1170064462819604,0.24977023451919342,-95.54497146606445,-95.70729637145996,-94.97445678710938,20
lcbench,lcbench_126029,TPE_HB,-95.46623153686524,0.711719583280729,0.15914533691335303,-95.4311408996582,-95.63185691833496,-94.95760917663574,20
lcbench,lcbench_146212,CMAES,-99.0397102355957,0.047986458119867945,0.010730098235546891,-99.0452880859375,-99.07599258422852,-99.01526069641113,20
lcbench,lcbench_146212,FMP,-98.96568298339844,0.09589416197355148,0.021442586481823643,-98.9593734741211,-99.06238555908203,-98.87739562988281,20
lcbench,lcbench_146212,FMP_DREAM,-99.00017890930175,0.07545617035936233,0.016872512624533945,-99.03017807006836,-99.04878425598145,-98.96352577209473,20
lcbench,lcbench_146212,GP,-99.09148597717285,0.05460306707253811,0.012209616975417933,-99.09026336669922,-99.12967491149902,-99.06456184387207,20
lcbench,lcbench_146212,RS,-98.59735069274902,0.23277719726464982,0.05205056366956394,-98.61324691772461,-98.77871513366699,-98.46946144104004,20
