suite,budget,method,mean,avg_rank,n_tasks
rbv2_svm,50,CMAES,0.856715469136834,3.45,20
rbv2_svm,50,FMP,0.8541298684477807,5.15,20
rbv2_svm,50,FMP_DREAM,0.8554847221821547,3.9,20
rbv2_svm,50,GP,0.8596496343612673,2.45,20
rbv2_svm,50,RS,0.8549145939201116,4.55,20
rbv2_svm,50,TPE,0.8589413594454527,1.5,20
rbv2_svm,100,CMAES,0.8588855965435505,3.3,20
rbv2_svm,100,FMP,0.8567810984700917,4.95,20
rbv2_svm,100,FMP_DREAM,0.8584017956256866,3.85,20
rbv2_svm,100,GP,0.8611527948081493,2.75,20
rbv2_svm,100,RS,0.857439894080162,4.6,20
rbv2_svm,100,TPE,0.8609632281213999,1.55,20
rbv2_svm,200,CMAES,0.8604610718041658,3.2,20
rbv2_svm,200,FMP,0.8589767261594533,4.6,20
rbv2_svm,200,FMP_DREAM,0.860861331447959,3.3,20
rbv2_svm,200,GP,0.8620247238129377,3.45,20
rbv2_svm,200,RS,0.85911265514791,5.0,20
rbv2_svm,200,TPE,0.8628257830441,1.45,20
rbv2_xgboost,50,CMAES,0.9321953822672369,2.125,20
rbv2_xgboost,50,FMP,0.9130549731850623,5.525,20
rbv2_xgboost,50,FMP_DREAM,0.9205710433423521,3.675,20
rbv2_xgboost,50,GP,0.9403047984838485,1.925,20
rbv2_xgboost,50,RS,0.9160194072127343,4.775,20
rbv2_xgboost,50,TPE,0.9282549443840982,2.975,20
rbv2_xgboost,100,CMAES,0.9381533429026604,2.625,20
rbv2_xgboost,100,FMP,0.9237235370278359,5.275,20
rbv2_xgboost,100,FMP_DREAM,0.9292244380712509,3.975,20
rbv2_xgboost,100,GP,0.9541579784452916,1.725,20
rbv2_xgboost,100,RS,0.9263296341896057,4.525,20
rbv2_xgboost,100,TPE,0.935154895633459,2.875,20
rbv2_xgboost,200,CMAES,0.942595344185829,3.05,20
rbv2_xgboost,200,FMP,0.9345808854699135,4.85,20
rbv2_xgboost,200,FMP_DREAM,0.9372482065856456,3.825,20
rbv2_xgboost,200,GP,0.9634986115992069,1.525,20
rbv2_xgboost,200,RS,0.9305022354423998,4.725,20
rbv2_xgboost,200,TPE,0.941151139140129,3.025,20
