,cat__ackley_10d,cont__rastrigin_10d,cont__schwefel_10d,lcbench_126026,lcbench_167181,lcbench_167185,lcbench_168329,lcbench_189908,lcbench_7593,mean_synthetic,mean_lcbench
p_dream,0.3736491961661623,0.46777685417978915,0.2899761000708682,0.029906393313357472,0.47769557289480336,0.2447440168119258,0.2768838901149187,0.11584097046820932,0.1894131132499024,0.3771340501389399,0.22241399280885285
T_mcmc,0.18431751153639664,0.10882334790405718,0.046480729531214994,0.2314735877280813,0.05074813335899829,0.26997074093175677,0.171093287529361,0.13875413439793133,0.13032203432567654,0.1132071963238896,0.16539365304530088
kde_tau,0.30488706647588465,0.10028750084868235,0.38496881488292983,0.1366633064261006,0.05891368693449303,0.028295476798020528,0.30792895383090496,0.1446452674380072,0.26045568313907147,0.2633811274024989,0.15615039576109965
n_chains,0.012136746048476877,0.017115323929467883,0.01790965148655679,0.2280720154079327,0.0389295648507157,0.023196702292572584,0.037431881627914124,0.09150596405470195,0.08330231295848269,0.01572057382150052,0.08373974019871995
burnin_fraction,0.01877049954169183,0.03862386108736071,0.017107936028344806,0.04283384115746391,0.040112816425812804,0.08593248561187097,0.04964194838496402,0.15061556158628026,0.0910843566462343,0.024834098885799114,0.07670350163543771
emission_scale,0.02240981359702066,0.06613446932142301,0.09500195412193166,0.09953709314598642,0.10520511744525356,0.04413901001392083,0.020585125510302945,0.09616546092897768,0.08747982362133785,0.061182079013458436,0.07551860511096321
n_init,0.011465665593875865,0.045755912410545704,0.01637566213521288,0.05241412492215661,0.034351584852234336,0.1245470233602599,0.01748919715841182,0.041382341434019435,0.03988090910968298,0.02453241337987815,0.05167753013946084
wide_sigma_fraction,0.010675826529447565,0.038657249823717287,0.011191742185295313,0.026407012519643686,0.093307902679126,0.027749883527176996,0.023103414544436665,0.04675407490753946,0.025391988788132192,0.020174939512820053,0.0404523794943425
rejection_streak,0.018077753084043247,0.025274734936083357,0.03798264187174823,0.027865722220945417,0.026515076093515864,0.06924461976405008,0.05185258007613147,0.03881644000168781,0.017939855597505282,0.027111709963958276,0.03870571562563932
hmm_window,0.013783169886121152,0.021057328072816683,0.0073279136684111755,0.0467801990739293,0.036953883458623875,0.015052683136361454,0.00944115483581396,0.0675730218991404,0.031018114860034772,0.014056137209116337,0.034469842877317296
bw_prior_strength,0.0033883643067078883,0.020493846443643143,0.06808037394273844,0.035670525496866834,0.015707018991992065,0.04914035013576958,0.0165556827310554,0.04707514971967182,0.005590557324992066,0.030654194897696493,0.028289880733391295
sigma_fraction,0.026438387234171423,0.04999957104241341,0.007596480074747671,0.04237617858753559,0.021559642014430995,0.01798700761631448,0.017992883655785028,0.020871613163833434,0.03812125037894731,0.02801147945044417,0.026484762569474473
