suite,knob,range,best_level,worst_level,best_level_per_task
lcbench,kde_tau,3.005255635579427,0.015,0.5,126026=0.005; 167181=0.015; 167185=0.015; 168329=0.05; 189908=0.015; 7593=0.015
lcbench,p_dream,2.5455572128295896,0.0,1.0,126026=0.25; 167181=0.75; 167185=0.25; 168329=0; 189908=0; 7593=0.5
lcbench,n_chains,0.7949731190999348,2.0,1.0,126026=2; 167181=2; 167185=8; 168329=4; 189908=2; 7593=2
lcbench,T_mcmc,0.6406733830769857,0.1,10.0,126026=0.1; 167181=0.1; 167185=3; 168329=3; 189908=0.3; 7593=0.1
lcbench,sigma_fraction,0.6191072463989258,1.0,0.3,126026=0.01; 167181=0.01; 167185=1; 168329=1; 189908=0.1; 7593=0.01
lcbench,emission_scale,0.5693835576375326,3.0,10.0,126026=10; 167181=0.1; 167185=0.3; 168329=1; 189908=1; 7593=0.3
lcbench,rejection_streak,0.5353909174601237,5.0,40.0,126026=3; 167181=5; 167185=3; 168329=5; 189908=10; 7593=3
lcbench,n_init,0.47467689514160155,32.0,16.0,126026=8; 167181=32; 167185=4; 168329=32; 189908=32; 7593=32
lcbench,bw_prior_strength,0.3582692464192708,7.5,75.0,126026=2.5; 167181=2.5; 167185=7.5; 168329=25; 189908=25; 7593=75
lcbench,hmm_window,0.3015404383341472,8.0,32.0,126026=32; 167181=16; 167185=2; 168329=8; 189908=8; 7593=16
lcbench,wide_sigma_fraction,0.22308712005615236,4.0,0.04,126026=4; 167181=4; 167185=1.2; 168329=0.4; 189908=0.4; 7593=1.2
lcbench,burnin_fraction,0.07328058878580729,0.2,0.0,126026=0.2; 167181=0.4; 167185=0; 168329=0.4; 189908=0; 7593=0
synthetic,p_dream,0.36271057672050266,0.0,1.0,cat__ackley=0; cont__rastrigin=0; cont__schwefel=0
synthetic,kde_tau,0.32453897448841584,0.05,0.5,cat__ackley=0.015; cont__rastrigin=0.05; cont__schwefel=0.05
synthetic,emission_scale,0.20581004491262134,3.0,10.0,cat__ackley=1; cont__rastrigin=0.3; cont__schwefel=3
synthetic,sigma_fraction,0.1711295583938296,0.03,1.0,cat__ackley=0.03; cont__rastrigin=0.01; cont__schwefel=0.03
synthetic,n_chains,0.14129853364458034,8.0,1.0,cat__ackley=4; cont__rastrigin=2; cont__schwefel=8
synthetic,T_mcmc,0.09319298993336178,0.1,3.0,cat__ackley=0.1; cont__rastrigin=0.1; cont__schwefel=10
synthetic,wide_sigma_fraction,0.091635505969069,0.04,0.4,cat__ackley=0.04; cont__rastrigin=0.12; cont__schwefel=0.04
synthetic,burnin_fraction,0.07772436205837896,0.2,0.0,cat__ackley=0.2; cont__rastrigin=0.2; cont__schwefel=0.2
synthetic,n_init,0.04777080859109584,64.0,16.0,cat__ackley=4; cont__rastrigin=32; cont__schwefel=64
synthetic,rejection_streak,0.03888356788185554,40.0,3.0,cat__ackley=5; cont__rastrigin=5; cont__schwefel=40
synthetic,bw_prior_strength,0.03069949167060182,7.5,75.0,cat__ackley=250; cont__rastrigin=7.5; cont__schwefel=250
synthetic,hmm_window,0.025397825861439238,32.0,4.0,cat__ackley=16; cont__rastrigin=2; cont__schwefel=32
