,cat__ackley_10d,cont__rastrigin_10d,cont__schwefel_10d,lcbench_126026,lcbench_167181,lcbench_167185,lcbench_168329,lcbench_189908,lcbench_7593,mean_synthetic,mean_lcbench
kde_tau,0.2108079515209211,0.05411006534945325,0.31983880724623154,0.2620233347609208,0.047076483282941076,0.06599157654164414,0.39827678737193595,0.14331146301276004,0.37289429198435764,0.19491894137220198,0.2149289894924266
p_dream,0.38428464778531995,0.5409539650358552,0.2962658305790547,0.031226067816877874,0.4908482194914332,0.20988380405884335,0.3058689611660195,0.11437043765376857,0.0774219024529253,0.4071681478000766,0.20493656543997796
T_mcmc,0.1928146449105138,0.1071365271384669,0.06944619056350647,0.1746249862913309,0.06793495436172212,0.15137613533998498,0.0484634124979379,0.14566990106699537,0.16085410459353777,0.1231324542041624,0.12482058235858484
n_init,0.016247100242478267,0.07433402214561081,0.023188062201861877,0.0899133143928773,0.13388166106604704,0.18963058057895654,0.024361097988018676,0.05827270819985621,0.024651033855476463,0.03792306152998365,0.0867850660135387
burnin_fraction,0.018147654036696634,0.022459776955842947,0.01061423771585291,0.10231312050160266,0.07097302341526919,0.08222709464677866,0.056310138342225945,0.05125898974548113,0.0715398192732917,0.01707388956946416,0.07243703098744154
wide_sigma_fraction,0.006193394712900654,0.03860770424858952,0.020028532873574204,0.02856581216050612,0.08941788905728783,0.05199453448134928,0.02217156349994231,0.14533102229861392,0.049001746062006774,0.021609877278354794,0.06441376125995103
emission_scale,0.02375632684576622,0.08537426895393917,0.11669905502546292,0.14713979861547466,0.017274892945239758,0.05753488198778237,0.03458234802850738,0.04335661922959518,0.060185531447792776,0.0752765502750561,0.06001234537573202
n_chains,0.02507354473319401,0.027141990437336578,0.008369329792169878,0.07881150018353432,0.03242108834326807,0.07037298190642807,0.025238722377320173,0.09350960664712149,0.05953504384404252,0.02019495498756682,0.05998149055028577
sigma_fraction,0.07569045535633762,0.009175341360163614,0.020937241065792873,0.011530296845103939,0.014299991834187249,0.03650430806581063,0.025055477037469267,0.10550609784772341,0.02898631585369181,0.035267679260764705,0.03698041458066439
hmm_window,0.005069865438963585,0.010066229808268323,0.01705467531200617,0.0250489205725183,0.014361300325354858,0.027676636728306846,0.024697489743171642,0.04639942415224957,0.05158644976423537,0.01073025685307936,0.0316283702143061
rejection_streak,0.027390671775329216,0.023657555471598528,0.020856417918326906,0.037721695767520054,0.00994224344059509,0.032891197553210044,0.025799945395219268,0.028587159329646623,0.023836819357629872,0.023968215055084882,0.026463176807303493
bw_prior_strength,0.014523742641579171,0.006982553094874852,0.07670161970615931,0.01108115209173306,0.011568252436654276,0.023916268110905133,0.00917405655223187,0.024426570816188476,0.01950694151101204,0.03273597181420445,0.016612206919787476
