suite,knob,range,best_level,worst_level,best_level_per_task
lcbench,p_dream,4.261204814910889,0.5,1.0,126026=0.5; 167181=0.75; 167185=0.5; 168329=0.25; 189908=0.25; 7593=0.5
lcbench,n_chains,1.8472920735677085,1.0,8.0,126026=1; 167181=1; 167185=2; 168329=1; 189908=1; 7593=1
lcbench,T_mcmc,1.4809581756591799,0.01255,0.2009,126026=0.02511; 167181=0.05022; 167185=0.01255; 168329=0.05022; 189908=0.01255; 7593=0.01255
lcbench,sigma_fraction,1.0682722091674806,0.005524,0.04419,126026=0.005524; 167181=0.0221; 167185=0.005524; 168329=0.005524; 189908=0.0221; 7593=0.08838
lcbench,n_init,0.7875408172607421,16.0,32.0,126026=8; 167181=8; 167185=2; 168329=16; 189908=4; 7593=16
lcbench,wide_sigma_fraction,0.6828752517700195,0.3009,1.203,126026=0.3009; 167181=0.3009; 167185=0.1504; 168329=0.3009; 189908=0.3009; 7593=0.1504
lcbench,rejection_streak,0.6579138437906901,48.0,6.0,126026=12; 167181=48; 167185=12; 168329=24; 189908=48; 7593=6
lcbench,emission_scale,0.641471799214681,3.0,10.0,126026=0.1; 167181=3; 167185=0.1; 168329=1; 189908=1; 7593=3
lcbench,bw_prior_strength,0.5518366495768229,359.2,22.45,126026=44.9; 167181=44.9; 167185=22.45; 168329=359.2; 189908=89.81; 7593=44.9
lcbench,burnin_fraction,0.5291677474975585,0.0,0.4,126026=0.4; 167181=0; 167185=0; 168329=0; 189908=0.1; 7593=0
lcbench,kde_tau,0.2682971954345703,0.006205,0.003103,126026=0.001551; 167181=0.006205; 167185=0.003103; 168329=0.006205; 189908=0.01241; 7593=0.001551
lcbench,hmm_window,0.0679740269978841,3.0,6.0,126026=6; 167181=3; 167185=3; 168329=6; 189908=6; 7593=3
synthetic,p_dream,0.4023596722015029,0.0,1.0,cat__ackley=0.25; cont__rastrigin=0.25; cont__schwefel=0.5
synthetic,rejection_streak,0.16179452831064667,48.0,6.0,cat__ackley=48; cont__rastrigin=96; cont__schwefel=48
synthetic,n_chains,0.1393237835566965,1.0,8.0,cat__ackley=1; cont__rastrigin=1; cont__schwefel=2
synthetic,sigma_fraction,0.12952847192615524,0.005524,0.08838,cat__ackley=0.005524; cont__rastrigin=0.0221; cont__schwefel=0.01105
synthetic,kde_tau,0.10901584538846054,0.01241,0.003103,cat__ackley=0.001551; cont__rastrigin=0.01241; cont__schwefel=0.01241
synthetic,T_mcmc,0.10867748097446461,0.05022,0.2009,cat__ackley=0.01255; cont__rastrigin=0.05022; cont__schwefel=0.1004
synthetic,emission_scale,0.09783003787275368,0.1,3.0,cat__ackley=1; cont__rastrigin=0.1; cont__schwefel=0.1
synthetic,wide_sigma_fraction,0.09205489319724591,0.07521,0.6017,cat__ackley=0.1504; cont__rastrigin=0.07521; cont__schwefel=1.203
synthetic,burnin_fraction,0.0630464877657626,0.0,0.4,cat__ackley=0; cont__rastrigin=0; cont__schwefel=0.1
synthetic,n_init,0.05597917258202678,4.0,16.0,cat__ackley=4; cont__rastrigin=4; cont__schwefel=16
synthetic,bw_prior_strength,0.05097858592496063,359.2,179.6,cat__ackley=89.81; cont__rastrigin=22.45; cont__schwefel=359.2
synthetic,hmm_window,0.004902539577449683,3.0,6.0,cat__ackley=6; cont__rastrigin=3; cont__schwefel=3
