suite,task,method,mean,std,sem,median,q25,q75,n
cat,cat__ackley_10d,CMAES,0.10337867391549904,0.02839257466012207,0.006348772699627094,0.11507808061884933,0.07810464103821259,0.12333497053291993,20
cat,cat__ackley_10d,FMP,0.576259972736669,0.07971230619131989,0.01782421352870687,0.5759573484092486,0.516417559148405,0.6180587886476877,20
cat,cat__ackley_10d,FMP_DREAM,0.6600222526342978,0.08043583456319833,0.017985999391023855,0.662951753453042,0.6058039500180069,0.7091185963617226,20
cat,cat__ackley_10d,GP,0.08713578218570223,0.034717382453269746,0.007763042716636958,0.08534167399453399,0.05965891955249247,0.10683188830918836,20
cat,cat__ackley_10d,L1_K1_VITERBI_SUB,0.6695186335543687,0.11377465694154477,0.025440786703801246,0.666244049957726,0.5995370291510458,0.7226727986210866,20
cat,cat__ackley_10d,RS,0.9690746298951446,0.06380743841401876,0.014267776976387724,1.0,0.9507862183986282,1.0112429428537826,20
cat,cat__ackley_10d,TPE,0.6488341939236857,0.07321077531233497,0.016370427028384437,0.6552192772748067,0.590896366774547,0.6966672806040094,20
cat,cat__levy_10d,CMAES,0.01940037292626097,0.037034188316931685,0.008281096256818775,0.006687838880316672,0.004289963686583766,0.009529054400049048,20
cat,cat__levy_10d,FMP,0.19910418926449944,0.08878775341380639,0.01985354522027601,0.18795330273533756,0.1284896167252373,0.24565408642830353,20
cat,cat__levy_10d,FMP_DREAM,0.2468751770803077,0.08225883203276195,0.018393634017499286,0.24605081963883774,0.1795703812239466,0.2934043227166082,20
cat,cat__levy_10d,GP,0.04022432966936028,0.027134374262585817,0.006067430537806261,0.03142961677050587,0.021360176006419943,0.05366550658644698,20
cat,cat__levy_10d,L1_K1_VITERBI_SUB,0.5868766383118151,0.2348417321338384,0.05251220770050594,0.5424692383736223,0.39977823546714575,0.7273459874574533,20
cat,cat__levy_10d,RS,0.920401317129769,0.3043067716958521,0.06804506275254343,1.0,0.7767028773098018,1.1284724471869398,20
cat,cat__levy_10d,TPE,0.18747774753172056,0.08384754785012673,0.018748881673954974,0.15286732609999307,0.1269052562875965,0.2610721207299354,20
cat,cat__rastrigin_10d,CMAES,0.5317141000475248,0.10950594652519431,0.02448627403707914,0.5616353404672372,0.4489484677494201,0.5967611300713116,20
cat,cat__rastrigin_10d,FMP,0.6629368795727714,0.0990763118971289,0.02215413683619514,0.641561476486393,0.6040360729244618,0.7454681486156106,20
cat,cat__rastrigin_10d,FMP_DREAM,0.7443318848139884,0.12429986945140155,0.027794295768768337,0.773981908455845,0.6747295432647419,0.8347716858428973,20
cat,cat__rastrigin_10d,GP,0.40372594368083037,0.14376393844619476,0.0321465939078787,0.38535302603847066,0.3090136142786267,0.4809761723487489,20
cat,cat__rastrigin_10d,L1_K1_VITERBI_SUB,0.8179586428717116,0.1663146057678778,0.03718907641480533,0.8412346761439413,0.7398467488350405,0.9498120791009121,20
cat,cat__rastrigin_10d,RS,1.0073707855218177,0.07673088324648333,0.01715754709127364,1.0,0.9755440463918457,1.048035431251476,20
cat,cat__rastrigin_10d,TPE,0.5898383503246392,0.08847276407799863,0.01978311146357064,0.5983243043803685,0.5266901746184186,0.6608838061787684,20
cat,cat__schwefel_10d,CMAES,0.9607381315418131,0.13549612808401307,0.030297855308387155,0.9727341582506512,0.870336846923057,1.0569225145139998,20
cat,cat__schwefel_10d,FMP,0.6249635182283387,0.11296607527169564,0.025259982345886944,0.6162454563862463,0.57717454642419,0.6874871562444609,20
cat,cat__schwefel_10d,FMP_DREAM,0.7233042248093566,0.12173162058234074,0.027220017863332644,0.7266433166424818,0.65862159127467,0.7935330429424471,20
cat,cat__schwefel_10d,GP,0.5269905040483915,0.15630058486713552,0.034949873268589,0.5332749493302205,0.4375499228341162,0.6011998485089494,20
cat,cat__schwefel_10d,L1_K1_VITERBI_SUB,0.8414688927730589,0.09081072412000575,0.020305895221831263,0.8426251134052383,0.7824146141087871,0.8892737447907695,20
cat,cat__schwefel_10d,RS,0.9847710227426762,0.09330533843370634,0.02086370794013911,1.0,0.9386285776756127,1.0534091326674109,20
cat,cat__schwefel_10d,TPE,0.5550580148937285,0.15914253197859604,0.03558535196155749,0.5492231566919257,0.4462502859943054,0.6189656456530113,20
cat,cat__sphere_10d,CMAES,0.00031602818364454856,0.00026966397145254304,6.0298697125044903e-05,0.0002620138016608661,0.0001499324375626361,0.0003274130952298324,20
cat,cat__sphere_10d,FMP,0.14524757045048692,0.054260159280959376,0.012132940462219128,0.1477514217209502,0.09650420924002931,0.19464362083109843,20
cat,cat__sphere_10d,FMP_DREAM,0.22530986662433256,0.09947351244411211,0.02224295357857059,0.19764203249487744,0.14487809217211345,0.2623192175421898,20
cat,cat__sphere_10d,GP,5.0959375042303e-05,3.788226085796558e-05,8.470731041979054e-06,4.071855931314937e-05,2.176358683524743e-05,6.417935674445911e-05,20
cat,cat__sphere_10d,L1_K1_VITERBI_SUB,0.48863422209544927,0.15532294479726425,0.034731266303213014,0.5050836271638651,0.381808118434797,0.5777925900213163,20
cat,cat__sphere_10d,RS,0.9639981995861406,0.3177322886195475,0.07104709959998909,1.0,0.7594667165594362,1.1549249544733762,20
cat,cat__sphere_10d,TPE,0.14354520293009576,0.07377824713463497,0.016497317585382292,0.12935508663512194,0.08575511094958774,0.19588481895499155,20
cont,cont__ackley_10d,CMAES,0.10392298723502777,0.02854206832238215,0.006382200498728986,0.11568399409881755,0.07851588056009753,0.12398435850320505,20
cont,cont__ackley_10d,FMP,0.5945210068389779,0.07522028549979469,0.01681976716644826,0.581253426407794,0.5610334820262415,0.6247542002129225,20
cont,cont__ackley_10d,FMP_DREAM,0.6881507225811202,0.07534844955721583,0.01684842552091485,0.6889848497611779,0.6560059279041687,0.7255727456590227,20
cont,cont__ackley_10d,GP,0.09614913594121871,0.03779097559403669,0.008450319036430155,0.08588609489603351,0.06771445027178447,0.11686981454313856,20
cont,cont__ackley_10d,L1_K1_VITERBI_SUB,0.6955104627116907,0.12065443946489944,0.026979152843064853,0.6774923600184825,0.6174180240863278,0.7496841450408427,20
cont,cont__ackley_10d,RS,0.993796974665098,0.030936934649595616,0.006917708889196449,1.0,0.9760115027100777,1.0202663342761307,20
cont,cont__ackley_10d,TPE,0.635670413776397,0.09058813369894893,0.02025612249056893,0.6328935463601257,0.5466364898258391,0.7134358609365818,20
cont,cont__griewank_10d,CMAES,0.011440870347755426,0.001006923913713237,0.00022515503192329308,0.011588731208106905,0.011062514604983309,0.011879262447657619,20
cont,cont__griewank_10d,FMP,0.18631299674373508,0.056053114577732766,0.01253385745463949,0.17964675971930988,0.1406296776136342,0.22031907701329634,20
cont,cont__griewank_10d,FMP_DREAM,0.22610599374694637,0.12484976545482097,0.02791725625318846,0.18670670267655604,0.12157270988168242,0.34268049361964537,20
cont,cont__griewank_10d,GP,0.010276553868010437,0.0009544872610933766,0.00021342983994623792,0.01073840492845811,0.009598271395862164,0.01091692434974479,20
cont,cont__griewank_10d,L1_K1_VITERBI_SUB,0.5875086276970494,0.19660338979889846,0.043961854419722564,0.5141678809893488,0.45370799615041035,0.6666310262351007,20
cont,cont__griewank_10d,RS,1.006131972176711,0.20273198437734546,0.04533224982811697,1.0,0.9010897550460872,1.14108135479512,20
cont,cont__griewank_10d,TPE,0.1474602232328898,0.062463600288221406,0.013967285636383851,0.12328995509837536,0.10708048474799374,0.1939128538871237,20
cont,cont__levy_10d,CMAES,0.020450863120312975,0.03903951325679149,0.008729500545068998,0.007049971566625112,0.004522256375117357,0.010045033048701186,20
