Eval,Chain,State,Loss,Accepted,Rej_Streak
17,0,EXPLORE,237.2542072592155,True,0
18,0,EXPLORE,469.288303914136,False,1
19,0,EXPLORE,264.55879537115857,False,2
20,0,EXPLORE,217.64093096991098,True,0
21,0,EXPLOIT,218.73966660111944,False,1
22,0,EXPLOIT,222.87608539283133,False,2
23,0,EXPLOIT,249.80601489171852,False,3
24,0,EXPLOIT,218.57036429839877,False,4
25,0,EXPLOIT,234.0026805018448,False,5
26,0,EXPLOIT,234.619422639381,False,6
27,0,EXPLOIT,236.64097601926812,False,7
28,0,EXPLOIT,217.84618703060823,False,8
29,0,EXPLOIT,221.03981397146345,False,9
30,0,EXPLOIT,225.29662035055003,False,10
31,0,TRAPPED,1073.249004193193,False,11
32,0,TRAPPED,581.7523385186225,False,12
33,0,TRAPPED,841.0272594243481,False,13
34,0,TRAPPED,713.2117339103356,True,0
35,0,EXPLOIT,675.4616739673087,True,0
36,0,EXPLOIT,738.0690826724242,False,1
37,0,EXPLOIT,697.5546799691634,False,2
38,0,EXPLOIT,635.2014816298363,True,0
39,0,EXPLOIT,639.3826783898076,False,1
40,0,EXPLOIT,677.908735574804,False,2
41,0,EXPLOIT,661.0147397807852,False,3
42,0,EXPLOIT,742.9533239462769,False,4
43,0,EXPLORE,764.3388947925974,False,5
44,0,EXPLORE,1095.7534632178408,False,6
45,0,EXPLORE,674.6737113666927,False,7
46,0,EXPLORE,660.8037317441767,False,8
47,0,EXPLORE,1092.428572821992,False,9
48,0,EXPLORE,617.1978324323267,True,0
49,0,EXPLORE,632.3557689865902,False,1
50,0,EXPLOIT,623.8159343224579,False,2
51,0,EXPLOIT,646.9389242818477,False,3
52,0,EXPLOIT,636.9656269781334,False,4
53,0,EXPLOIT,653.7558172052159,False,5
54,0,EXPLOIT,618.9212805748822,False,6
55,0,EXPLOIT,612.6356790096429,True,0
56,0,EXPLOIT,616.4134947018595,False,1
57,0,EXPLOIT,612.1742393357941,True,0
58,0,EXPLOIT,612.9199939189444,False,1
59,0,EXPLOIT,620.7765208705885,False,2
60,0,EXPLOIT,641.444018624459,False,3
61,0,EXPLOIT,619.3167472773024,False,4
62,0,EXPLOIT,614.4588069944062,False,5
63,0,EXPLOIT,622.1835092843575,False,6
64,0,EXPLOIT,612.2404870125716,False,7
65,0,EXPLOIT,623.3633028950441,False,8
66,0,EXPLOIT,618.665005086152,False,9
67,0,EXPLOIT,617.7621281590946,False,10
68,0,TRAPPED,1037.8597056633157,False,11
69,0,TRAPPED,851.6227571385992,False,12
70,0,TRAPPED,843.2792124444051,False,13
71,0,TRAPPED,525.4981326382583,True,0
72,0,EXPLORE,524.0481604845547,True,0
73,0,EXPLORE,473.7128141885801,True,0
74,0,EXPLORE,436.6767092903763,True,0
75,0,EXPLORE,587.8389135996628,False,1
76,0,EXPLORE,504.5537401325904,False,2
77,0,EXPLORE,437.3019981883644,False,3
78,0,EXPLORE,915.3197917731288,False,4
79,0,EXPLORE,423.1858947150076,True,0
80,0,EXPLORE,440.43528619024045,False,1
81,0,EXPLOIT,470.5472058929607,False,2
82,0,EXPLOIT,422.9846185854648,True,0
83,0,EXPLOIT,448.2609739151691,False,1
84,0,EXPLOIT,408.3253013323324,True,0
85,0,EXPLOIT,448.8375177821342,False,1
86,0,EXPLOIT,426.96659260071635,False,2
87,0,EXPLOIT,450.5292856292025,False,3
88,0,EXPLOIT,416.9157887136422,False,4
89,0,EXPLOIT,403.301654419036,True,0
90,0,EXPLOIT,412.87305359137224,False,1
91,0,EXPLOIT,397.24801211626254,True,0
92,0,EXPLOIT,396.60458872667834,True,0
93,0,EXPLOIT,401.3607761959337,False,1
94,0,EXPLOIT,398.97204414541665,False,2
95,0,EXPLOIT,409.5506246279545,False,3
96,0,EXPLOIT,399.12632216922736,False,4
97,0,EXPLOIT,397.81422700589866,False,5
98,0,EXPLOIT,405.34443686033467,False,6
99,0,EXPLOIT,400.4396682836872,False,7
100,0,EXPLOIT,410.3326391558204,False,8
101,0,EXPLOIT,405.0074633077655,False,9
102,0,EXPLOIT,401.13191387882296,False,10
103,0,TRAPPED,862.9101008686978,False,11
104,0,TRAPPED,570.5202513035757,False,12
105,0,TRAPPED,804.1677228816955,False,13
106,0,TRAPPED,910.9032849660266,False,14
107,ORCHESTRATOR,RESET/CLONE,469.9157958434041,True,0
108,0,EXPLORE,408.59080277802144,True,0
109,0,EXPLORE,1191.4341105307808,False,1
110,0,EXPLOIT,393.4668909772852,True,0
111,0,EXPLOIT,422.53965481381687,False,1
112,0,EXPLOIT,466.36641250545773,False,2
113,0,EXPLOIT,369.46450460204085,True,0
114,0,EXPLOIT,423.4905625888887,False,1
115,0,EXPLOIT,431.0436970379973,False,2
116,0,EXPLOIT,431.52749681324593,False,3
117,0,EXPLOIT,311.2182327720874,True,0
118,0,EXPLOIT,320.74348613792176,False,1
119,0,EXPLOIT,291.6951039588595,True,0
120,0,EXPLOIT,225.86026215866775,True,0
121,0,EXPLOIT,232.47388300815055,False,1
122,0,EXPLOIT,234.5743655403527,False,2
123,0,EXPLOIT,219.70481934859845,True,0
124,0,EXPLOIT,219.55014522211968,True,0
125,0,EXPLOIT,221.7438174830562,False,1
126,0,EXPLOIT,251.89521618948243,False,2
127,0,EXPLOIT,251.57351092258693,False,3
128,0,EXPLOIT,259.4339940330932,False,4
129,0,EXPLOIT,251.8659983369057,False,5
130,0,EXPLOIT,230.56902217932497,False,6
131,0,EXPLOIT,235.2151153703087,False,7
132,0,EXPLOIT,219.85342867872998,False,8
133,0,EXPLOIT,347.1480112904611,False,9
134,0,EXPLORE,220.41304525054625,False,10
135,0,TRAPPED,1046.9775004529515,False,11
136,0,TRAPPED,728.2273969404835,False,12
137,0,TRAPPED,962.3329851283349,False,13
138,ORCHESTRATOR,RESET/CLONE,497.6323496032238,True,0
139,0,EXPLORE,864.1843891843247,False,1
140,0,EXPLORE,362.3312259170641,True,0
141,0,EXPLORE,614.4225976427138,False,1
142,0,EXPLORE,448.70512467964545,False,2
143,0,EXPLORE,362.7177877029049,False,3
144,0,EXPLORE,856.8958261484479,False,4
145,0,EXPLORE,247.37734515940087,True,0
146,0,EXPLORE,171.88506452329932,True,0
147,0,EXPLORE,131.50313091739713,True,0
148,0,EXPLORE,138.80914462365126,False,1
149,0,EXPLORE,136.01282527773287,False,2
150,0,EXPLOIT,149.79064809075794,False,3
151,0,EXPLOIT,287.092231410669,False,4
152,0,EXPLORE,115.10402512745713,True,0
153,0,EXPLORE,91.58604944727779,True,0
154,0,EXPLORE,604.4545754815089,False,1
155,0,EXPLORE,77.95398839812651,True,0
156,0,EXPLOIT,117.33568093223539,False,1
157,0,EXPLOIT,74.9023657850471,True,0
158,0,EXPLOIT,133.01811257145812,False,1
159,0,EXPLOIT,51.213037173633666,True,0
160,0,EXPLOIT,93.96270493964846,False,1
161,0,EXPLOIT,47.81876414615431,True,0
162,0,EXPLOIT,146.9075671507934,False,1
163,0,EXPLOIT,106.98192326603703,False,2
164,0,EXPLOIT,38.73067267657234,True,0
165,0,EXPLOIT,82.83688561959832,False,1
166,0,EXPLOIT,50.110296675701306,False,2
167,0,EXPLOIT,8.108226328788533,True,0
168,0,EXPLOIT,18.429529177278482,False,1
169,0,EXPLOIT,5.116453773870717,True,0
170,0,EXPLOIT,43.35432313451338,False,1
171,0,EXPLOIT,0.44399592825357104,True,0
172,0,EXPLOIT,9.98079714932669,False,1
173,0,EXPLOIT,23.380539702443798,False,2
174,0,EXPLOIT,3.892974395862211,False,3
175,0,EXPLOIT,4.385767740561505,False,4
176,0,EXPLOIT,12.82377166511128,False,5
177,0,EXPLOIT,20.60952681404933,False,6
178,0,EXPLOIT,0.011049591058736041,True,0
179,0,EXPLOIT,13.19791047511751,False,1
180,0,EXPLOIT,15.562544658143452,False,2
181,0,EXPLOIT,9.101482285126508,False,3
182,0,EXPLOIT,5.359161138832178,False,4
183,0,EXPLOIT,0.19154941785677693,False,5
184,0,EXPLOIT,14.881532326031902,False,6
185,0,EXPLOIT,37.008539449399564,False,7
186,0,EXPLOIT,6.094291803922147,False,8
187,0,EXPLOIT,47.00320447467129,False,9
188,0,EXPLOIT,7.468579008496363,False,10
189,0,TRAPPED,1141.0604669832283,False,11
190,0,TRAPPED,890.8259225901674,False,12
191,0,TRAPPED,540.9216296907358,False,13
192,0,TRAPPED,890.6719751021968,False,14
193,0,TRAPPED,608.0961001111881,False,15
194,0,TRAPPED,1155.1392835947472,False,16
195,0,TRAPPED,441.7038560503394,True,0
196,0,EXPLOIT,340.67905081473805,True,0
197,0,EXPLOIT,431.84996838617064,False,1
198,0,EXPLORE,721.098580117591,False,2
199,0,EXPLORE,781.9342476934983,False,3
200,0,EXPLORE,348.07523529926806,False,4
